"action_type","combined_shot_type","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","game_month","matchup","opponent"
"Jump Shot","Jump Shot",33.9173,11,127,-118.2588,3,2,0,"2005-06",46,12,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Away","MEM"
"Jump Shot","Jump Shot",33.8653,110,179,-118.1598,1,2,0,"2005-06",47,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","MEM"
"Jump Shot","Jump Shot",33.8583,0,186,-118.2698,0,2,0,"2005-06",57,18,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","11","Away","MEM"
"Jump Shot","Jump Shot",33.8573,126,187,-118.1438,0,2,0,"2005-06",28,22,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","MEM"
"Turnaround Jump Shot","Jump Shot",33.9633,-136,81,-118.4058,10,3,0,"2005-06",38,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Away","MEM"
"Layup Shot","Layup",34.0443,0,0,-118.2698,6,3,0,"2005-06",40,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","MEM"
"Jump Shot","Jump Shot",33.9113,-125,133,-118.3948,5,3,0,"2005-06",29,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Away","MEM"
"Reverse Layup Shot","Layup",34.0443,0,0,-118.2698,1,3,0,"2005-06",45,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","MEM"
"Tip Shot","Tip Shot",34.0443,0,0,-118.2698,10,1,0,"2005-06",32,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","NYK"
"Layup Shot","Layup",34.0443,0,0,-118.2698,10,1,0,"2005-06",30,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.9243,-56,120,-118.3258,10,1,0,"2005-06",1,13,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",34.0443,161,0,-118.1088,8,1,0,"2005-06",47,16,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","NYK"
"Layup Shot","Layup",34.0443,0,0,-118.2698,8,1,0,"2005-06",25,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",34.0313,-159,13,-118.4288,5,1,0,"2005-06",8,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.9393,161,105,-118.1088,3,1,0,"2005-06",39,19,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","NYK"
"Fadeaway Jump Shot","Jump Shot",33.8503,28,194,-118.2418,2,1,0,"2005-06",30,19,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.8883,126,156,-118.1438,1,1,0,"2005-06",18,20,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","NYK"
"Layup Shot","Layup",34.0443,0,0,-118.2698,0,1,0,"2005-06",49,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",34.0443,130,0,-118.1398,0,1,0,"2005-06",5,13,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.9393,-6,105,-118.2758,7,2,0,"2005-06",5,10,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.9553,-13,89,-118.2828,5,2,0,"2005-06",7,8,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","NYK"
"Layup Shot","Layup",34.0443,0,0,-118.2698,4,2,0,"2005-06",39,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.9673,125,77,-118.1448,3,2,0,"2005-06",32,14,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",34.0373,171,7,-118.0988,2,2,0,"2005-06",32,17,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.9623,-71,82,-118.3408,11,3,0,"2005-06",0,10,"1","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","11","Home","NYK"
"Jump Bank Shot","Jump Shot",33.9193,-2,125,-118.2718,10,3,0,"2005-06",20,12,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.8983,11,146,-118.2588,7,3,0,"2005-06",44,14,"0","2PT Field Goal","Center(C)","Mid-Range","8-16 ft.","11","Home","NYK"
"Layup Shot","Layup",34.0443,0,0,-118.2698,5,3,0,"2005-06",39,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","NYK"
"Fadeaway Jump Shot","Jump Shot",33.9143,-100,130,-118.3698,4,3,0,"2005-06",53,16,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.8753,90,169,-118.1798,4,3,0,"2005-06",1,19,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.9223,62,122,-118.2078,3,3,0,"2005-06",27,13,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",34.0443,204,0,-118.0658,10,4,0,"2005-06",59,20,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.9763,138,68,-118.1318,9,4,0,"2005-06",56,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","NYK"
"Running Jump Shot","Jump Shot",33.9523,-100,92,-118.3698,7,4,0,"2005-06",54,13,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.9263,-145,118,-118.4148,7,4,0,"2005-06",7,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","NYK"
"Layup Shot","Layup",34.0443,0,0,-118.2698,6,4,0,"2005-06",38,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.9933,-66,51,-118.3358,4,4,0,"2005-06",45,8,"0","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.9783,164,66,-118.1058,2,4,0,"2005-06",28,17,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","NYK"
"Layup Shot","Layup",34.0443,0,0,-118.2698,0,4,0,"2005-06",37,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","NYK"
"Jump Shot","Jump Shot",33.9113,-82,133,-118.3518,7,1,0,"2005-06",2,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","LAC"
"Layup Shot","Layup",34.0443,0,0,-118.2698,6,1,0,"2005-06",45,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.9243,-100,120,-118.3698,4,1,0,"2005-06",21,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.8533,23,191,-118.2468,2,1,0,"2005-06",28,19,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.9293,108,115,-118.1618,1,1,0,"2005-06",30,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.9223,-141,122,-118.4108,11,2,0,"2005-06",43,18,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","LAC"
"Fadeaway Jump Shot","Jump Shot",34.0453,-148,-1,-118.4178,9,2,0,"2005-06",44,14,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.8943,102,150,-118.1678,8,2,0,"2005-06",0,18,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","LAC"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,4,2,0,"2005-06",3,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.8453,51,199,-118.2188,1,2,0,"2005-06",58,20,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.9963,24,48,-118.2458,0,2,0,"2005-06",52,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.7923,-23,252,-118.2928,0,2,0,"2005-06",7,25,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.9193,-133,125,-118.4028,11,3,0,"2005-06",8,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",34.0553,174,-11,-118.0958,8,3,0,"2005-06",57,17,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.8423,-82,202,-118.3518,7,3,0,"2005-06",21,21,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.9173,0,127,-118.2698,5,3,0,"2005-06",5,12,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.8993,112,145,-118.1578,4,3,0,"2005-06",15,18,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.8863,-146,158,-118.4158,2,3,0,"2005-06",12,21,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.9443,135,100,-118.1348,4,4,0,"2005-06",4,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","LAC"
"Layup Shot","Layup",34.0443,10,0,-118.2598,4,4,0,"2005-06",0,1,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",34.0623,227,-18,-118.0428,2,4,0,"2005-06",20,22,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.9583,-182,86,-118.4518,1,4,0,"2005-06",57,20,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.8783,-200,166,-118.4698,0,4,0,"2005-06",44,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.7963,-130,248,-118.3998,0,4,0,"2005-06",10,28,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","LAC"
"Layup Shot","Layup",34.0443,0,0,-118.2698,10,1,0,"2005-06",7,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8733,-123,171,-118.3928,9,1,0,"2005-06",38,21,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.9173,-163,127,-118.4328,8,1,0,"2005-06",46,20,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,7,1,0,"2005-06",30,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",34.0263,161,18,-118.1088,2,1,0,"2005-06",57,16,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.9213,117,123,-118.1528,2,1,0,"2005-06",2,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8613,102,183,-118.1678,11,2,0,"2005-06",36,20,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Bank Shot","Jump Shot",34.0113,-92,33,-118.3618,10,2,0,"2005-06",30,9,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8843,92,160,-118.1778,8,2,0,"2005-06",20,18,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.9703,121,74,-118.1488,7,2,0,"2005-06",39,14,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",34.0143,123,30,-118.1468,6,2,0,"2005-06",38,12,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",34.0343,-154,10,-118.4238,3,2,0,"2005-06",18,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",34.0193,-143,25,-118.4128,3,2,0,"2005-06",14,14,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","CHI"
"Running Jump Shot","Jump Shot",34.0393,-176,5,-118.4458,1,2,0,"2005-06",29,17,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.7913,-75,253,-118.3448,0,2,0,"2005-06",51,26,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","11","Home","CHI"
"Running Jump Shot","Jump Shot",34.0293,-176,15,-118.4458,11,3,0,"2005-06",43,17,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",34.0093,-138,35,-118.4078,10,3,0,"2005-06",57,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8303,-145,214,-118.4148,7,3,0,"2005-06",16,25,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","CHI"
"Jump Shot","Jump Shot",34.0083,184,36,-118.0858,6,3,0,"2005-06",10,18,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",34.0523,-145,-8,-118.4148,5,3,0,"2005-06",11,14,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8353,-151,209,-118.4208,4,3,0,"2005-06",42,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8423,-94,202,-118.3638,1,3,0,"2005-06",57,22,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8733,-61,171,-118.3308,0,3,0,"2005-06",0,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8753,-62,169,-118.3318,11,4,0,"2005-06",5,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,8,4,0,"2005-06",26,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",34.0313,-192,13,-118.4618,7,4,0,"2005-06",26,19,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8863,-135,158,-118.4048,6,4,0,"2005-06",20,20,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",34.0113,-29,33,-118.2988,0,4,0,"2005-06",14,4,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.8123,100,232,-118.1698,0,4,0,"2005-06",2,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","CHI"
"Jump Shot","Jump Shot",33.9393,15,105,-118.2548,9,1,0,"2005-06",27,10,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","SEA"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,6,2,0,"2005-06",56,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.9553,-29,89,-118.2988,5,2,0,"2005-06",24,9,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","SEA"
"Jump Shot","Jump Shot",34.0633,-128,-19,-118.3978,3,2,0,"2005-06",55,12,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.9343,89,110,-118.1808,1,2,0,"2005-06",44,14,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.9963,-138,48,-118.4078,0,2,0,"2005-06",35,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","SEA"
"Alley Oop Layup shot","Layup",34.0443,0,0,-118.2698,9,3,0,"2005-06",31,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.8503,-153,194,-118.4228,5,3,0,"2005-06",48,24,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.8893,110,155,-118.1598,3,3,0,"2005-06",10,19,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.8453,-168,199,-118.4378,2,3,0,"2005-06",6,26,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","SEA"
"Running Jump Shot","Jump Shot",34.0443,38,0,-118.2318,1,3,0,"2005-06",33,3,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","SEA"
"Layup Shot","Layup",34.0443,0,0,-118.2698,1,3,0,"2005-06",4,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.8073,113,237,-118.1568,0,3,0,"2005-06",26,26,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.8303,-166,214,-118.4358,0,3,0,"2005-06",1,27,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","SEA"
"Running Jump Shot","Jump Shot",33.8703,-133,174,-118.4028,11,4,0,"2005-06",46,21,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.9393,-154,105,-118.4238,9,4,0,"2005-06",41,18,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Home","SEA"
"Fadeaway Jump Shot","Jump Shot",33.8683,-112,176,-118.3818,8,4,0,"2005-06",57,20,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.8383,113,206,-118.1568,6,4,0,"2005-06",38,23,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.8653,-172,179,-118.4418,5,4,0,"2005-06",48,24,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.9603,-123,84,-118.3928,4,4,0,"2005-06",32,14,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","SEA"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,4,4,0,"2005-06",21,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.8883,80,156,-118.1898,2,4,0,"2005-06",17,17,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","SEA"
"Jump Shot","Jump Shot",33.8803,143,164,-118.1268,6,1,0,"2005-06",15,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.8733,-113,171,-118.3828,4,1,0,"2005-06",10,20,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.9013,-79,143,-118.3488,2,1,0,"2005-06",53,16,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.8093,98,235,-118.1718,0,1,0,"2005-06",9,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.9303,-85,114,-118.3548,5,2,0,"2005-06",51,14,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.9063,98,138,-118.1718,4,2,0,"2005-06",7,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.9273,123,117,-118.1468,0,2,0,"2005-06",55,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.9323,171,112,-118.0988,11,3,0,"2005-06",51,20,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.8553,194,189,-118.0758,10,3,0,"2005-06",4,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.9443,34,100,-118.2358,9,3,0,"2005-06",49,10,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.8933,-102,151,-118.3718,9,3,0,"2005-06",18,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.8893,113,155,-118.1568,8,3,0,"2005-06",0,19,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",34.0443,-97,0,-118.3668,6,3,0,"2005-06",32,9,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.8303,-166,214,-118.4358,5,3,0,"2005-06",3,27,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.8713,74,173,-118.1958,4,3,0,"2005-06",55,18,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.8303,-156,214,-118.4258,4,3,0,"2005-06",24,26,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","NJN"
"Turnaround Jump Shot","Jump Shot",33.9013,-85,143,-118.3548,3,3,0,"2005-06",41,16,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",34.0263,-181,18,-118.4508,2,3,0,"2005-06",37,18,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.8353,-131,209,-118.4008,2,3,0,"2005-06",9,24,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","NJN"
"Jump Shot","Jump Shot",34.0263,-156,18,-118.4258,11,4,0,"2005-06",9,15,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",34.0343,-169,10,-118.4388,7,4,0,"2005-06",46,16,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Home","NJN"
"Layup Shot","Layup",34.0443,0,0,-118.2698,5,4,0,"2005-06",18,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","NJN"
"Layup Shot","Layup",34.0443,0,0,-118.2698,3,4,0,"2005-06",33,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","NJN"
"Layup Shot","Layup",34.0443,0,0,-118.2698,2,4,0,"2005-06",33,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",34.0363,176,8,-118.0938,1,4,0,"2005-06",49,17,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.8113,120,233,-118.1498,0,4,0,"2005-06",28,26,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.9983,236,46,-118.0338,0,4,0,"2005-06",13,24,"1","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.8683,-99,176,-118.3688,4,5,0,"2005-06",40,20,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","NJN"
"Jump Shot","Jump Shot",33.8573,-166,187,-118.4358,2,5,0,"2005-06",6,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Home","NJN"
"Fadeaway Jump Shot","Jump Shot",33.9853,62,59,-118.2078,11,1,0,"2005-06",6,8,"0","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9673,161,77,-118.1088,10,1,0,"2005-06",11,17,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Away","SAS"
"Layup Shot","Layup",34.0413,-3,3,-118.2728,8,1,0,"2005-06",37,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SAS"
"Layup Shot","Layup",34.0323,-3,12,-118.2728,7,1,0,"2005-06",8,1,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9453,167,99,-118.1028,6,1,0,"2005-06",33,19,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Away","SAS"
